更新时间: 2026-01-01 19:40:49（北京时间）

更新时间,#genre#
2026-01-01 19:40:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
女性时尚,http://211.158.153.37:8002/rtp/225.0.4.208:7980$四川联通
女性时尚,http://113.25.107.189:10000/rtp/239.1.1.89:8089$山西电信
女性时尚,http://115.45.243.189:8888/rtp/239.253.43.8:5146$广东电信
女性时尚,http://113.101.244.14:10000/rtp/239.253.43.8:5146$广东电信
世界地理,http://211.158.153.37:8002/rtp/225.0.4.207:7980$四川联通
世界地理,http://113.25.107.189:10000/rtp/239.1.1.99:8099$山西电信
世界地理,http://115.45.243.189:8888/rtp/239.253.43.7:5146$广东电信
世界地理,http://113.101.244.14:10000/rtp/239.253.43.7:5146$广东电信
世界地理,http://58.48.104.87:8989/rtp/239.69.1.91:10186$湖北电信
央视台球,http://211.158.153.37:8002/rtp/225.0.4.224:7980$四川联通
央视台球,http://113.25.107.189:10000/rtp/239.1.1.100:8100$山西电信
央视台球,http://115.45.243.189:8888/rtp/239.253.43.11:5146$广东电信
央视台球,http://113.101.244.14:10000/rtp/239.253.43.11:5146$广东电信
央视台球,http://58.48.104.87:8989/rtp/239.69.1.98:10224$湖北电信
高尔夫网球,http://211.158.153.37:8002/rtp/225.0.4.211:7980$四川联通
高尔夫网球,http://113.25.107.189:10000/rtp/239.1.1.102:8102$山西电信
高尔夫网球,http://115.45.243.189:8888/rtp/239.253.43.22:5146$广东电信
高尔夫网球,http://113.101.244.14:10000/rtp/239.253.43.22:5146$广东电信
高尔夫网球,http://58.48.104.87:8989/rtp/239.69.1.83:10138$湖北电信
央视文化精品,http://211.158.153.37:8002/rtp/225.0.4.212:7980$四川联通
央视文化精品,http://113.25.107.189:10000/rtp/239.1.1.91:8091$山西电信
央视文化精品,http://115.45.243.189:8888/rtp/239.253.43.27:5146$广东电信
央视文化精品,http://113.101.244.14:10000/rtp/239.253.43.27:5146$广东电信
卫生健康,http://115.45.243.189:8888/rtp/239.77.0.212:5146$广东电信
卫生健康,http://113.101.244.14:10000/rtp/239.77.0.212:5146$广东电信
电视指南,http://113.25.107.189:10000/rtp/239.1.1.90:8090$山西电信
